nombre,descripcion,fuente,url,tipo_documento,relevancia_predicha,explicacion_predicha,tiempo_ejecucion_seg,tokens_prompt,tokens_respuesta,tokens_totales,relevancia_real,explicacion_real,ano,exitos,peso_real
Circular N° 34 del 25 de Abril del 2025,Imparte instrucciones sobre las modificaciones introducidas por la Ley N° 21.713 a los artículos 101 y 206 del Código Tributario. Modifica Circular N° 35 de 2022,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu34.pdf,circular,No Relevante,"No cumple reglas de negocio. La normativa se centra en sanciones a funcionarios por infracciones relacionadas con la aplicación de leyes tributarias y la obligación de reserva, sin abordar temas directamente relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, operadores, comercio electrónico o PSP.",3.442,1283,84,1367,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 22 del 11 de Marzo del 2025,Informa tabla de cálculos de reajustes y multas para el mes de abril 2025.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu22.pdf,circular,No Relevante,"La normativa se centra en informar sobre tablas de cálculos de reajustes y multas, lo cual no se relaciona directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",2.927,1698,56,1754,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 71 del 19 de Junio del 2025,"Imparte instrucciones sobre procedimiento para que las empresas certificadoras independientes puedan otorgar certificación anual de sostenibilidad tributaria a los contribuyentes, de acuerdo con el párrafo segundo del N° 18 del artículo 8° del Código Tributario.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso71.pdf,resolucion,No Relevante,La normativa se centra en la certificación de sostenibilidad tributaria y no aborda directamente ninguno de los temas específicos listados como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.,3.968,15085,52,15137,No Relevante,Contiene 'cumplimiento tributario',2025,1,1
Resolución Exenta SII N° 46 del 10 de Abril del 2025,Aprueba Convenio de Intercambio de Información y Colaboración entre la Superintendencia de Educación y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso46.pdf,resolucion,No Relevante,"La normativa se centra en un convenio de intercambio de información y colaboración entre la Superintendencia de Educación y el Servicio de Impuestos Internos, sin abordar directamente temas como boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, medios de pago electrónicos, POS, comercio electrónico, o PSP. No cumple reglas de negocio.",8.095,7801,83,7884,No Relevante,Contiene 'donaciones',2025,1,1
Circular N° 14 del 10 de Febrero del 2025,Tablas de impuesto único de segunda categoría para el mes de marzo de 2025 e información adicional relacionada con dicho tributo.,Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu14.pdf,circular,No Relevante,"La normativa se centra en las tablas de impuesto único de segunda categoría y no aborda temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",3.803,2655,78,2733,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 49 del 17 de Abril del 2025,Tramitación de las autodenuncias conforme al artículo 100 sexies del Código Tributario.,Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso49.pdf,resolucion,No Relevante,"La normativa se centra en el procedimiento para la tramitación de autodenuncias relacionadas con delitos tributarios, lo cual no se relaciona directamente con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP.",3.476,2067,91,2158,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 43 del 05 de Junio del 2025,"Tabla de Cálculos de Reajustes, Intereses y Multas sobre Pagos Provisionales Mensuales Obligatorios (PPMO) con obligación tributaria anual cumplida, para aplicarse durante el año 2025.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu43.pdf,circular,No Relevante,"La normativa se centra en la tabla de cálculos de reajustes, intereses y multas sobre pagos provisionales mensuales obligatorios (PPMO) y no aborda ninguno de los temas específicos relacionados con el cumplimiento normativo automatizado de la fintech, como boletas, comprobantes electrónicos, registro de compra o venta, medios de pago electrónicos, entre otros.",3.379,2189,84,2273,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 17 del 07 de Febrero del 2025,Aprueba Addendum al Convenio de Intercambio de Información y Colaboración entre el Servicio Electoral y el Servicio de Impuestos Internos,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso17.pdf,resolucion,No Relevante,"La normativa se centra en un addendum al convenio de intercambio de información y colaboración entre el Servicio Electoral y el Servicio de Impuestos Internos, sin abordar temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",4.009,2457,91,2548,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 45 del 10 de Abril del 2025,"Fija contenido, forma y plazo para dar cumplimiento a la obligación de informar de la superintendencia del medio ambiente, respecto de los proyectos de inversión, en el contexto de la contribución para el desarrollo regional.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso45.pdf,resolucion,No Relevante,"La normativa se centra en la obligación de informar a la superintendencia del medio ambiente sobre proyectos de inversión en el contexto de la contribución para el desarrollo regional. No aborda temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP. No cumple reglas de negocio.",9.065,1778,94,1872,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 69 del 19 de Junio del 2025,Instruye forma en que los bancos comerciales deben cumplir la obligación a que se refiere el inciso segundo del artículo 89 del código tributario.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso69.pdf,resolucion,Relevante,"La normativa es relevante porque establece obligaciones para los bancos comerciales relacionadas con el ""inicio de actividades"" de personas jurídicas o entidades empresariales al tramitar solicitudes de crédito o préstamos. Esto afecta el cumplimiento tributario automatizado, ya que los bancos deben verificar y reportar esta información al Servicio de Impuestos Internos (SII), lo cual es un proceso que puede ser automatizado por una fintech.",3.414,1367,92,1459,No Relevante,Contiene 'inicio de actividades',2025,1,1
Resolución Exenta SII N° 13 del 24 de Enero del 2025,"Revoca facultad y deja sin efecto Resolución Exenta SII N° 69, de 2017; delega facultad en el Subdirector de Asistencia al Contribuyente en la materia que indica.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso13.pdf,resolucion,No Relevante,"La normativa se centra en la delegación de facultades para la entrega de información en el marco de convenios de cooperación interinstitucional, lo cual no afecta directamente los temas de boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP. No cumple reglas de negocio.",3.838,800,94,894,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 72 del 19 de Junio del 2025,"Establece contenido y procedimiento de suscripción y ejecución de acuerdos de cooperación con grupos empresariales, conforme con los incisos tercero y cuarto del N° 18 del artículo 8° del Código Tributario.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso72.pdf,resolucion,No Relevante,"La normativa se centra en la suscripción y ejecución de acuerdos de cooperación con grupos empresariales para promover la sostenibilidad tributaria, pero no aborda directamente temas como boletas, comprobantes electrónicos, registro de compra, registro de venta, medios de pago electrónicos, POS, comercio electrónico, o PSP, que son los criterios definidos para clasificar una normativa como relevante para el sistema de cumplimiento normativo automatizado de la fintech.",5.252,17448,98,17546,No Relevante,Contiene 'cumplimiento tributario',2025,1,1
Resolución Exenta SII N° 80 del 26 de Junio del 2025,Establece procedimiento para presentar la solicitud de no ser notificado por correo electrónico en las situaciones que prevé el inciso primero del artículo 11 del Código Tributario.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso80.pdf,resolucion,No Relevante,"La normativa se centra en el procedimiento para solicitar no ser notificado por correo electrónico, lo cual no se relaciona directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",3.033,1319,56,1375,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 28 del 06 de Marzo del 2025,"Fija procedimiento para la suscripción de acuerdos anticipados de precios de transferencia, conforme al N° 7 del Artículo 41 E de la Ley sobre Impuesto a la Renta. Deja sin efecto Resoluciones Ex. N° 68 de 2013 y N° 114 de 2022.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso28.pdf,resolucion,No Relevante,"La normativa se centra en los acuerdos anticipados de precios de transferencia, que no están directamente relacionados con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",6.429,4614,84,4698,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 10 del 30 de Enero del 2025,Imparte instrucciones sobre las modificaciones introducidas por la Ley N° 21.713 al artículo 41 E de la Ley sobre Impuesto a la Renta. Deja sin efecto la Circular N° 29 de 2013.,Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu10.pdf,circular,No Relevante,No cumple reglas de negocio,3.645,19404,18,19422,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 51 del 25 de Abril del 2025,Aprueba Addendum al Convenio de Intercambio de Información y Colaboración entre el Banco Central de Chile y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso51.pdf,resolucion,Relevante,"La normativa incluye modificaciones relacionadas con el ""comprobante de boleta electrónica"" y el ""registro de compra y venta"", que son temas directamente relacionados con el cumplimiento tributario y los comprobantes electrónicos, lo cual es relevante para el sistema de cumplimiento normativo automatizado de la fintech.",3.414,5517,69,5586,Relevante,Contiene 'registro de compra' | Contiene 'boletas electrónicas',2025,2,3
Resolución Exenta SII N° 62 del 22 de Mayo del 2025,Aprueba Addendum al Convenio de Intercambio de Información y Colaboración entre la Dirección de Presupuestos y el Servicio de Impuestos Internos.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso62.pdf,resolucion,No Relevante,"La normativa se centra en un addendum al convenio de intercambio de información y colaboración entre la Dirección de Presupuestos y el Servicio de Impuestos Internos. No aborda directamente temas como boletas, comprobantes electrónicos, registro de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP. Por lo tanto, no cumple con las reglas de negocio establecidas para ser clasificada como relevante.",4.478,3233,109,3342,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 34 del 19 de Marzo del 2025,OTORGA CONDONACIÓN SOBRE MULTAS INFRACCIONALES EN LOS CASOS QUE SE SEÑALAN,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso34.pdf,resolucion,No Relevante,"No cumple reglas de negocio. La normativa se centra en la condonación de multas por presentación fuera de plazo de una declaración jurada específica, lo cual no se relaciona directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",3.673,849,68,917,No Relevante,Contiene 'cumplimiento tributario',2025,1,1
Circular N° 40 del 09 de Mayo del 2025,Tablas de impuesto único de segunda categoría para el mes de junio de 2025 e información adicional relacionada con dicho tributo.,Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu40.pdf,circular,No Relevante,"La normativa se centra en las tablas de impuesto único de segunda categoría y no aborda temas relacionados con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",2.937,2708,78,2786,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 19 del 06 de Marzo del 2025,"Imparte instrucciones sobre diversas modificaciones introducidas por la Ley N° 21.713 al Código Tributario. Modifica Circulares N°12 de 2021 y N°41 de 2021, modificada por la N°47 de 2022",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu19.pdf,circular,Relevante,"La normativa aborda temas relacionados con el cumplimiento tributario, medios de pago electrónicos y el uso de documentos electrónicos, que son relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",5.134,20170,50,20220,Relevante,Contiene 'pagos electrónicos' | Contiene 'cumplimiento tributario' | Contiene 'donaciones',2025,3,5
Resolución Exenta SII N° 55 del 30 de Abril del 2025,Imparte instrucciones sobre el procedimiento de fiscalización unificado del artículo 59 ter del código tributario.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso55.pdf,resolucion,No Relevante,"La normativa se centra en el procedimiento de fiscalización unificado para grupos empresariales, lo cual no se relaciona directamente con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario automatizado, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP. No cumple reglas de negocio.",3.431,2251,91,2342,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 02 del 03 de Enero del 2025,Autoriza a proceder conforme al modelo de operación de contabilidad electrónica a los contribuyentes que señala,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso2.pdf,resolucion,No Relevante,No cumple reglas de negocio.,1.962,2167,19,2186,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 35 del 30 de Abril del 2025,"Imparte instrucciones sobre las modificaciones introducidas por la Ley N° 21.713 en el Código Tributario, en materia de notificaciones. Deja sin efecto la Circular N° 34 de 2015, modificada por Circulares N° 23 de 2016 y N° 12 de 2021",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu35.pdf,circular,No Relevante,"No cumple reglas de negocio. La normativa se centra en las modificaciones en materia de notificaciones del Código Tributario, sin relación directa con los temas especificados como boletas, comprobantes electrónicos, registro de compra, registro de venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP.",4.541,12228,85,12313,No Relevante,Contiene Artículo 68 del Código Tributario | Contiene 'inicio de actividades',2025,2,2
Resolución Exenta SII N° 50 del 24 de Abril del 2025,Autoriza acceso a los Servicios de Interoperabilidad Cartografía Digital “SII-MAPAS” a la Ilustre Municipalidad de Hualpén.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso50.pdf,resolucion,No Relevante,"La normativa se centra en autorizar el acceso a servicios de cartografía digital para una municipalidad, lo cual no está relacionado con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP. No cumple reglas de negocio.",3.287,2097,84,2181,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 5 del 10 de Enero del 2025,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de enero de 2025 y el 9 de febrero de 2025, ambos inclusive.",Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu5.pdf,circular,No Relevante,"La normativa se refiere al valor de la Unidad de Fomento para un período específico, lo cual no está relacionado directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech. No cumple reglas de negocio.",2.708,927,61,988,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 12 del 17 de Enero del 2025,"Establece la obligación de entregar representación impresa o virtual de la boleta electrónica y del comprobante de pago electrónico, en las condiciones que se indican.",Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso12.pdf,resolucion,Relevante,"La normativa establece obligaciones relacionadas con la entrega de representaciones impresas o virtuales de boletas electrónicas y comprobantes de pago electrónicos, lo cual se relaciona directamente con los temas de boletas, comprobantes electrónicos y cumplimiento tributario.",2.657,1911,61,1972,Relevante,Contiene 'cumplimiento tributario' | Contiene 'boletas electrónicas',2025,2,3
Resolución Exenta SII N° 44 del 07 de Abril del 2025,Instruye sobre forma de documentar e identificar al pagador en las operaciones de venta conforme al artículo 92 ter del código tributario.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso44.pdf,resolucion,Relevante,"La normativa se relaciona directamente con la emisión de boletas electrónicas y el registro de ventas, temas que son relevantes para el sistema de cumplimiento normativo automatizado de la fintech. Además, establece requisitos específicos para documentar la identidad del pagador y el uso de medios de pago electrónicos, lo cual afecta el cumplimiento tributario.",3.352,1933,79,2012,Relevante,Contiene 'pagos electrónicos' | Contiene 'boletas electrónicas',2025,2,5
Resolución Exenta SII N° 78 del 26 de Junio del 2025,Autoriza acceso a los Servicios de Interoperabilidad Cartografía Digital “SII-MAPAS” a la Ilustre Municipalidad de Peñalolén.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso78.pdf,resolucion,No Relevante,"La normativa se centra en autorizar el acceso a servicios de cartografía digital para una municipalidad, lo cual no está relacionado con los temas específicos de cumplimiento tributario automatizado definidos, como boletas, comprobantes electrónicos, registros de compra y venta, medios de pago electrónicos, entre otros.",2.65,2103,72,2175,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 31 del 17 de Abril del 2025,"Imparte instrucciones acerca de las normas incorporadas en el Código Tributario por las Leyes N° 21.713 y N° 21.716, en materia de medidas antielusión. Deja sin efecto la Circular N° 65 de 2015.",Subdireccion Juridica,https://www.sii.cl/normativa_legislacion/circulares/2025/circu31.pdf,circular,No Relevante,"No cumple reglas de negocio. La normativa se centra en medidas antielusión y procedimientos de fiscalización, sin abordar directamente los temas específicos de boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario automatizado, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico o PSP.",4.01,16418,77,16495,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 76 del 26 de Junio del 2025,"Fija nóminas de agentes retenedores y de contribuyentes sujetos a retención, conforme a resolución Ex. SII N° 42, de 30 de abril de 2018, que dispuso el cambio de sujeto para el cumplimiento de IVA.",Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso76.pdf,resolucion,No Relevante,"La normativa se centra en fijar nóminas de agentes retenedores y contribuyentes sujetos a retención para el cumplimiento del IVA, lo cual no modifica procesos generales que afecten el cumplimiento automatizado de la fintech en los temas especificados.",2.652,1378,63,1441,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 15 del 10 de Febrero del 2025,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de febrero de 2025 y el 9 de marzo de 2025, ambos inclusive.",Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu15.pdf,circular,No Relevante,"La normativa se refiere al valor de la Unidad de Fomento para un período específico, lo cual no está relacionado con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech. No cumple reglas de negocio.",2.615,1039,60,1099,No Relevante,No se encontraron reglas de negocio,2025,0,0
Resolución Exenta SII N° 31 del 13 de Marzo del 2025,Autoriza acceso a los Servicios de Interoperabilidad Cartografía Digital “SII-MAPAS” a la Ilustre Municipalidad de La Unión.,Subdireccion De Asistencia Al Contribuyente,https://www.sii.cl/normativa_legislacion/resoluciones/2025/reso31.pdf,resolucion,No Relevante,"La normativa se centra en autorizar el acceso a servicios de cartografía digital para una municipalidad, lo cual no está relacionado con boletas, comprobantes electrónicos, registros de compra o venta, cumplimiento tributario, inicio de actividades, medios de pago electrónicos, POS, operadores y administradores, comercio electrónico, o PSP. No cumple reglas de negocio.",3.509,2093,84,2177,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 20 del 10 de Marzo del 2025,"Operaciones de crédito de dinero. Valor de la Unidad de Fomento para los días comprendidos entre el 10 de marzo de 2025 y el 9 de abril de 2025, ambos inclusive.",Subdireccion Normativa,https://www.sii.cl/normativa_legislacion/circulares/2025/circu20.pdf,circular,No Relevante,La normativa se refiere al valor de la Unidad de Fomento para un período específico y no trata explícitamente ninguno de los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.,2.318,1161,54,1215,No Relevante,No se encontraron reglas de negocio,2025,0,0
Circular N° 8 del 28 de Enero del 2025,Informa tabla de cálculos de reajustes y multas para el mes de febrero 2025.,Subdireccion De Fiscalizacion,https://www.sii.cl/normativa_legislacion/circulares/2025/circu8.pdf,circular,No Relevante,"La normativa se centra en informar sobre tablas de cálculos de reajustes y multas, lo cual no se relaciona directamente con los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",2.322,1625,56,1681,No Relevante,No se encontraron reglas de negocio,2025,0,0
