nombre,explicacion_real,explicacion_predicha,tipo_error,Modelo
Resolución Exenta SII N° 26 del 24 de Febrero del 2025,Contiene 'boletas electrónicas',"La normativa autoriza a EDS Tickets SPA para emitir boletas de servicios en formato electrónico, lo cual se relaciona directamente con el tema de ""boletas"" y ""comprobantes electrónicos"", ambos relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",Falso Positivo,gpt4_knn3
Circular N° 26 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario,"La normativa se relaciona directamente con el cumplimiento tributario, específicamente con la inscripción en el Rol Único Tributario (RUT) a través de la carpeta tributaria electrónica, lo cual es relevante para el sistema de cumplimiento normativo automatizado de la fintech. Además, aborda procedimientos simplificados y alternativos para la inscripción en el RUT, lo que puede impactar en los procesos de cumplimiento tributario automatizado.",Falso Positivo,gpt4_knn3
Resolución Exenta SII N° 18 del 13 de Febrero del 2025,No se encontraron reglas de negocio,"La normativa es relevante porque se refiere a la información de boletas de prestación de servicios de terceros electrónicas (BTE) y boletas de honorarios electrónicas (BHE), que son tipos de comprobantes electrónicos. Además, la normativa implica el intercambio de información que puede afectar el cumplimiento tributario automatizado de la fintech.",Falso Positivo,gpt4_knn3
Resolución Exenta SII N° 53 del 29 de Abril del 2025,Contiene 'boletas electrónicas',"La normativa se relaciona directamente con la obligación de entregar la representación impresa o virtual de la boleta electrónica y/o comprobante de pago electrónico, lo cual está directamente vinculado con los temas de boletas, comprobantes electrónicos, medios de pago electrónicos y cumplimiento tributario.",Falso Positivo,gpt4_knn3
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',"La normativa se centra en el procedimiento de designación de un apoderado de grupo empresarial para coordinar con el Servicio de Impuestos Internos (SII) en temas de colaboración y cumplimiento tributario. No aborda directamente ninguno de los temas específicos listados como relevantes para el sistema de cumplimiento normativo automatizado de la fintech, como boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico, o PSP.",Falso Negativo,gpt4_knn3
Resolución Exenta SII N° 69 del 19 de Junio del 2025,Contiene 'inicio de actividades',"La normativa es relevante porque establece obligaciones para los bancos comerciales relacionadas con el ""inicio de actividades"" de personas jurídicas o entidades empresariales al tramitar solicitudes de crédito o préstamo. Esto afecta el cumplimiento tributario automatizado, ya que los bancos deben verificar y reportar esta información al Servicio de Impuestos Internos (SII), lo cual es un proceso que puede ser automatizado por una fintech.",Falso Positivo,gpt4_knn5
Resolución Exenta SII N° 63 del 22 de Mayo del 2025,No se encontraron reglas de negocio,"La normativa es relevante porque afecta directamente el cumplimiento tributario automatizado de la fintech al establecer un cambio en el sujeto pasivo del IVA para las comisiones pagadas a intermediarios en el modelo de negocio ""Santander en tu barrio"". Esto implica que Banco Santander Chile debe emitir facturas de compra y gestionar la retención y declaración del IVA, lo cual es un proceso que puede ser automatizado y es relevante para el sistema de cumplimiento normativo de la fintech.",Falso Positivo,gpt4_knn5
Resolución Exenta SII N° 20 del 20 de Febrero del 2025,Contiene 'boletas electrónicas',"La normativa autoriza la emisión de boletas de servicios en formato electrónico, lo cual se relaciona directamente con el tema de comprobantes electrónicos, uno de los temas definidos como relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",Falso Positivo,gpt4_knn5
Resolución Exenta SII N° 26 del 24 de Febrero del 2025,Contiene 'boletas electrónicas',"La normativa autoriza la emisión de boletas de servicios en formato electrónico, lo cual se relaciona directamente con el tema de comprobantes electrónicos y boletas, ambos relevantes para el sistema de cumplimiento normativo automatizado de la fintech.",Falso Positivo,gpt4_knn5
Circular N° 26 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario,"La normativa es relevante porque introduce modificaciones al proceso de inscripción en el Rol Único Tributario (RUT) mediante la carpeta tributaria electrónica, lo cual está directamente relacionado con el cumplimiento tributario. Además, establece procedimientos simplificados y alternativos para la inscripción en el RUT, lo que afecta a instituciones bancarias y financieras, actores clave en el ecosistema de medios de pago electrónicos y PSPs.",Falso Positivo,gpt4_knn5
Resolución Exenta SII N° 18 del 13 de Febrero del 2025,No se encontraron reglas de negocio,"La normativa es relevante porque se refiere a la información de boletas de prestación de servicios de terceros electrónicas (BTE) y boletas de honorarios electrónicas (BHE), que son tipos de comprobantes electrónicos. Además, se menciona el intercambio de información relacionada con ingresos por honorarios, lo cual está directamente relacionado con el cumplimiento tributario.",Falso Positivo,gpt4_knn5
Resolución Exenta SII N° 53 del 29 de Abril del 2025,Contiene 'boletas electrónicas',"La normativa se relaciona directamente con la obligación de entregar la representación impresa o virtual de la boleta electrónica y/o comprobante de pago electrónico, lo cual está directamente vinculado con los temas de boletas, comprobantes electrónicos, medios de pago electrónicos y cumplimiento tributario.",Falso Positivo,gpt4_knn5
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',"La normativa se centra en el procedimiento de designación de un apoderado de grupo empresarial para coordinar con el Servicio de Impuestos Internos (SII) en temas de colaboración y cumplimiento tributario. No aborda directamente ninguno de los temas específicos listados como relevantes para el sistema de cumplimiento normativo automatizado de la fintech, como boletas, comprobantes electrónicos, registros de compra o venta, medios de pago electrónicos, POS, comercio electrónico, o PSP.",Falso Negativo,gpt4_knn5
Circular N° 6 del 16 de Enero del 2025,No se encontraron reglas de negocio,"La normativa introduce nuevos conceptos y procedimientos que se relacionan directamente con el ""cumplimiento tributario"". Específicamente, define la ""sostenibilidad tributaria"" como un marco de cooperación y transparencia, establece un sistema de certificación para los contribuyentes y crea un ""procedimiento de fiscalización unificado"". Estos elementos modifican la forma en que el SII interactúa y fiscaliza a los contribuyentes, lo cual es información crucial para un sistema que automatiza el cumplimiento de dichas obligaciones.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Contiene 'inicio de actividades',"Aunque se trata de un convenio interinstitucional, la normativa regula el intercambio de información directamente relacionada con temas clave para el sistema, como ""inicio de actividades"", ""término de giro"" y ""representantes"" de los contribuyentes. Estos datos son esenciales para los procesos de validación y cumplimiento tributario automatizado que realiza la fintech.",Falso Positivo,gemini_knn1
Circular N° 17 del 12 de Febrero del 2025,No se encontraron reglas de negocio,"La normativa establece los valores de reajustes y multas aplicables a impuestos adeudados, lo cual es un componente esencial del ""cumplimiento tributario"". Un sistema automatizado debe incorporar estas tablas para calcular correctamente las obligaciones de los contribuyentes en caso de pagos fuera de plazo.",Falso Positivo,gemini_knn1
Circular N° 22 del 11 de Marzo del 2025,No se encontraron reglas de negocio,"La normativa establece los valores específicos para el cálculo de reajustes y multas por impuestos adeudados, lo cual es un componente esencial del cumplimiento tributario. Un sistema automatizado para una fintech debe incorporar estas tablas y tasas actualizadas para calcular correctamente los montos a pagar por sus usuarios en caso de mora, asegurando así el cumplimiento preciso de las obligaciones tributarias.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 71 del 19 de Junio del 2025,Contiene 'cumplimiento tributario',"La normativa se relaciona directamente con el **cumplimiento tributario**, al establecer un nuevo procedimiento y estándares para la certificación de ""sostenibilidad tributaria"". Define requisitos de gobernanza fiscal, marcos de control y matrices de riesgo que los contribuyentes deben implementar. Un sistema de cumplimiento automatizado debe considerar estos estándares para ayudar a sus clientes a alcanzar dicha certificación y sus beneficios asociados.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 46 del 10 de Abril del 2025,Contiene 'donaciones',"La normativa detalla en sus anexos el intercambio de información específica y los procesos de validación de documentos tributarios que son centrales para un sistema de cumplimiento automatizado. Afecta directamente a los temas de **comprobantes electrónicos (DTE)**, **boletas** (de honorarios), **registro de compra** y **cumplimiento tributario**, al establecer los mecanismos y datos (vía web service y batch) que el SII utilizará para validar la información de los contribuyentes del sector educacional.",Falso Positivo,gemini_knn1
Circular N° 43 del 05 de Junio del 2025,No se encontraron reglas de negocio,"La normativa se relaciona directamente con el ""cumplimiento tributario"", ya que establece las tablas y metodologías para el cálculo de reajustes, intereses y multas sobre los Pagos Provisionales Mensuales (PPM). Estos cálculos son esenciales para un sistema automatizado que gestione o informe sobre las obligaciones tributarias de los contribuyentes.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 69 del 19 de Junio del 2025,Contiene 'inicio de actividades',"La normativa se relaciona directamente con los temas ""inicio de actividades"" y ""cumplimiento tributario"", que están explícitamente listados como criterios de relevancia. Específicamente, establece la obligación para los bancos comerciales de verificar el inicio de actividades de personas jurídicas al tramitar operaciones de crédito o financiamiento, lo cual constituye una modificación significativa en los procesos de cumplimiento tributario asociados a dichas operaciones.",Falso Positivo,gemini_knn1
Circular N° 35 del 30 de Abril del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'inicio de actividades',"La normativa modifica las reglas sobre cómo el SII notifica sus actuaciones, estableciendo la notificación por correo electrónico y la publicación en el sitio personal del contribuyente como mecanismos principales. Esto se relaciona directamente con el ""cumplimiento tributario"", ya que las notificaciones son el medio oficial para comunicar fiscalizaciones, citaciones y otros actos que inician plazos y obligaciones para el contribuyente, afectando los procesos que un sistema automatizado debe gestionar.",Falso Positivo,gemini_knn1
Circular N° 31 del 17 de Abril del 2025,No se encontraron reglas de negocio,"La normativa se relaciona directamente con el tema de **cumplimiento tributario**. Define y regula las medidas antielusión, el abuso de formas jurídicas y la simulación, estableciendo los procedimientos de fiscalización y sanción que aplicará el SII. Para un sistema de cumplimiento automatizado, es fundamental conocer este marco para evaluar los riesgos tributarios de las operaciones y estructuras que procesa o asesora, asegurando que no faciliten esquemas que puedan ser calificados como elusivos por la autoridad fiscal.",Falso Positivo,gemini_knn1
Circular N° 8 del 28 de Enero del 2025,No se encontraron reglas de negocio,"La normativa informa la tabla de reajustes y multas aplicables a impuestos adeudados. Estos valores son esenciales para el cálculo de obligaciones en caso de pagos fuera de plazo o rectificatorias, lo que se relaciona directamente con la gestión del ""cumplimiento tributario"" que un sistema automatizado debe manejar.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 75 del 26 de Junio del 2025,No se encontraron reglas de negocio,"La resolución establece las tasas de interés por mora en el pago de impuestos. Esta información es un componente esencial para el ""cumplimiento tributario"", ya que un sistema automatizado debe ser capaz de calcular correctamente los montos adeudados, incluyendo intereses y multas por pagos fuera de plazo.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 63 del 22 de Mayo del 2025,No se encontraron reglas de negocio,"La normativa establece un cambio de sujeto de IVA para un modelo de negocio que involucra a un PSP (Getnet) y a miles de comercios. Esto modifica directamente las obligaciones de emisión de **comprobantes electrónicos** (prohíbe la emisión de facturas de venta por parte del comercio y obliga a Santander a emitir facturas de compra), impactando el **Registro de Compra y Venta** y el **cumplimiento tributario** general (declaración en F29) de los comercios afectados. Por lo tanto, es crucial para un sistema de cumplimiento automatizado.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 43 del 04 de Abril del 2025,No se encontraron reglas de negocio,"La normativa establece y regula los procedimientos de fiscalización que permiten al SII acceder a la información bancaria de los contribuyentes para verificar la veracidad e integridad de sus declaraciones de impuestos. Esto se relaciona directamente con el ""cumplimiento tributario"", uno de los temas clave definidos.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 42 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'inicio de actividades',"La normativa establece un nuevo procedimiento para el **inicio de actividades** y la obtención de RUT, que son procesos centrales del **cumplimiento tributario**. Define a las ""bancas corresponsales"" como **operadores** responsables de inscribir a contribuyentes extranjeros para que realicen operaciones financieras. Un sistema de cumplimiento automatizado debe ser capaz de reconocer y validar este nuevo tipo de RUT simplificado y el procedimiento asociado, ya que afecta directamente la validación de identidad tributaria de potenciales clientes o contrapartes.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 11 del 17 de Enero del 2025,Contiene 'inicio de actividades',"La normativa establece un cambio de sujeto de IVA, lo que obliga a los compradores a emitir ""facturas de compra"", un tipo específico de comprobante electrónico. Esto modifica directamente las reglas de emisión de documentos tributarios, afecta el Registro de Compra y Venta, y altera las obligaciones de cumplimiento tributario relacionadas con la declaración y pago del IVA (Formulario 29) para los contribuyentes del rubro afectado.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 05 del 09 de Enero del 2025,No se encontraron reglas de negocio,"La normativa establece una nueva obligación de reporte (Declaración Jurada F1959) que afecta directamente a entidades que procesan pagos. Se relaciona con los temas de **cumplimiento tributario**, **medios de pago electrónicos**, **psp (proveedores de servicios para procesamiento de pagos)** y **comercio electrónico**, al exigir la información de abonos recibidos en cuentas, incluyendo aquellos provenientes de ""monederos, billeteras o cuentas virtuales"", que son operaciones centrales para una fintech.",Falso Positivo,gemini_knn1
Circular N° 37 del 30 de Abril del 2025,Contiene Artículo 68 del Código Tributario,"La normativa regula la representación de los contribuyentes ante el SII, introduciendo una nueva modalidad de mandato digital a través del sitio web del Servicio. Esto afecta directamente el **cumplimiento tributario** y el **inicio de actividades**, ya que establece los procedimientos y facultades para que un tercero, como una fintech, pueda actuar en nombre de sus clientes para realizar trámites y presentar declaraciones. La gestión de estos mandatos es un proceso fundamental para un sistema de cumplimiento automatizado.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 01 del 02 de Enero del 2025,No se encontraron reglas de negocio,"La normativa establece un régimen especial para un segmento de contribuyentes (pequeños artesanos), liberándolos de la obligación de emitir documentación tributaria, como boletas. Esto impacta directamente en los procesos de un sistema de cumplimiento automatizado que gestiona la emisión de comprobantes electrónicos, el registro de ventas y el cumplimiento tributario general, ya que debe ser capaz de identificar a estos usuarios y aplicar la exención correspondiente. Adicionalmente, se vincula con el proceso de inicio de actividades.",Falso Positivo,gemini_knn1
Circular N° 26 del 03 de Abril del 2025,Contiene Artículo 68 del Código Tributario,"La normativa modifica los artículos 66 y 66 bis del Código Tributario, estableciendo un nuevo procedimiento simplificado para la inscripción en el RUT, lo cual se relaciona directamente con los temas de **inicio de actividades** y **cumplimiento tributario**. Específicamente, regula cómo entidades extranjeras pueden obtener identificación tributaria en Chile al operar a través de intermediarios financieros. Para una fintech que actúa como PSP o facilita el comercio electrónico, este cambio es crucial, ya que afecta directamente el onboarding y la gestión del cumplimiento de clientes o usuarios sin domicilio ni residencia en el país.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 22 del 21 de Febrero del 2025,No se encontraron reglas de negocio,"La normativa establece nuevos procedimientos de fiscalización y revisión remota que el SII puede ejecutar a nivel nacional. Esto se relaciona directamente con el tema de ""cumplimiento tributario"", ya que define cómo los contribuyentes deben interactuar con el SII, presentar documentación a través del expediente electrónico y responder a requerimientos durante una auditoría.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 18 del 13 de Febrero del 2025,No se encontraron reglas de negocio,"La normativa establece un intercambio de información entre el SII y el IPS que involucra directamente datos de ""boletas de honorarios electrónicas (BHE)"" y ""boletas de prestación de servicios de terceros electrónicas (BTE)"". Estos son tipos de ""comprobantes electrónicos"" y ""boletas"", temas explícitamente definidos como relevantes para el sistema de cumplimiento normativo.",Falso Positivo,gemini_knn1
Circular N° 1 del 02 de Enero del 2025,No se encontraron reglas de negocio,La normativa modifica directamente un aspecto central del **cumplimiento tributario**: el cálculo de reajustes e intereses moratorios por el pago fuera de plazo de impuestos. Establece una nueva metodología de cálculo diario y semestral que debe ser implementada por cualquier sistema que gestione o calcule deudas tributarias para asegurar la correcta liquidación y pago de las mismas. Esto afecta directamente la funcionalidad de un sistema de cumplimiento automatizado.,Falso Positivo,gemini_knn1
Resolución Exenta SII N° 53 del 29 de Abril del 2025,Contiene 'boletas electrónicas',"La normativa modifica directamente las obligaciones relacionadas con la emisión y entrega de **boletas electrónicas** y **comprobantes de pago electrónico** (voucher) en el punto de venta (**POS**). Establece la obligatoriedad de entregar una representación impresa o virtual del documento, eliminando la opción de no hacerlo si el cliente no lo requiere. Esto impacta directamente los flujos de **cumplimiento tributario** automatizado, especialmente para los **proveedores de medios de pago electrónicos** y sistemas de emisión de boletas, quienes deben adaptar sus sistemas para cumplir con esta nueva exigencia.",Falso Positivo,gemini_knn1
Circular N° 46 del 12 de Junio del 2025,No se encontraron reglas de negocio,"La normativa establece la tabla de cálculo para reajustes y multas aplicables a impuestos adeudados, lo cual es un componente esencial del **cumplimiento tributario**. Un sistema automatizado debe incorporar estos valores para calcular correctamente los montos a pagar en caso de declaraciones o pagos fuera de plazo.",Falso Positivo,gemini_knn1
Circular N° 42 del 15 de Mayo del 2025,No se encontraron reglas de negocio,"La normativa establece la tabla de cálculo de reajustes y multas por pago tardío de impuestos. Esta información es esencial para un sistema de cumplimiento tributario automatizado que necesite calcular los montos adeudados por los contribuyentes en caso de mora, lo cual se enmarca directamente en el tema de ""cumplimiento tributario"".",Falso Positivo,gemini_knn1
Circular N° 7 del 16 de Enero del 2025,No se encontraron reglas de negocio,"La normativa se relaciona directamente con el ""cumplimiento tributario"", ya que establece los procedimientos y facultades del SII para requerir información bancaria y financiera de los contribuyentes con el fin de fiscalizar la veracidad e integridad de sus declaraciones de impuestos. Esto impacta directamente en los procesos de fiscalización que un sistema de cumplimiento automatizado debe considerar.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 47 del 10 de Abril del 2025,Contiene 'inicio de actividades',"La normativa, a través de sus anexos, detalla la existencia y especificaciones técnicas de web services del SII para la consulta de información de contribuyentes. Específicamente, describe un servicio para verificar la ""fecha de inicio de actividades"", un tema explícitamente definido como relevante. Adicionalmente, la información sobre la consulta de datos básicos del contribuyente y los métodos de autenticación vía API son fundamentales para los sistemas de cumplimiento tributario automatizado.",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 48 del 17 de Abril del 2025,No se encontraron reglas de negocio,"La normativa, en su Anexo 6, detalla la estructura y campos de la Guía de Despacho Electrónica (DTE tipo 52), un tipo de comprobante electrónico. Esta especificación técnica es fundamental para los sistemas de cumplimiento automatizado que procesan Documentos Tributarios Electrónicos, por lo que se relaciona directamente con los temas de ""comprobantes electrónicos"" y ""cumplimiento tributario"".",Falso Positivo,gemini_knn1
Resolución Exenta SII N° 21 del 21 de Febrero del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',"La normativa regula un procedimiento administrativo para la designación de un apoderado de grupo empresarial, que actúa como punto de contacto con el SII. Aunque se relaciona con el ""cumplimiento tributario"" en un sentido amplio, no modifica directamente los procesos automatizables como la emisión de documentos tributarios electrónicos, los registros de compra/venta o los medios de pago. Es una obligación de gobernanza y comunicación que no impacta la operativa del sistema de la fintech.",Falso Negativo,gemini_knn1
Resolución Exenta SII N° 77 del 26 de Junio del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'operadores' | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',Clasificación fallback por error o exceso de tokens.,Falso Negativo,gemini_knn1
Resolución Exenta SII N° 79 del 26 de Junio del 2025,Contiene Artículo 68 del Código Tributario | Contiene 'operadores' | Contiene 'cumplimiento tributario' | Contiene 'inicio de actividades',Clasificación fallback por error o exceso de tokens.,Falso Negativo,gemini_knn1
Circular N° 18 del 21 de Febrero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en instrucciones técnicas para la realización de actuaciones vía medios electrónicos y la determinación de competencias regionales, lo cual afecta procesos generales de fiscalización. Aunque no menciona temas específicos como boletas o comprobante electrónico directamente, el uso de electronic records (art. 16) está relacionado con comprobante electrónico, lo que lo hace relevante para el sistema.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 56 del 30 de Abril del 2025,Contiene 'inicio de actividades',"El documento proporciona instrucciones técnicas y guías para interactuar con varios sistemas relacionados con el SII, vehicle management, defunciones, etc., lo que lo hace relevante para las funciones de administación pública y la gestión efectiva de información.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 82 del 03 de Julio del 2025,No se encontraron reglas de negocio,"El documento aborda la transparencia y protección de datos personales en procesos tributarios, lo cual es relevante para empresas que interactúen con terceros sector y necesiten informar a sus clientes o clientes de tercera parte sobre procesos legales.",Falso Positivo,deepseek-r1_knn1
Circular N° 44 del 12 de Junio del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en los cálculos de impuestos específicos, como el Impuesto de Utilidad del Sector (IUS) y la relativización de rentas, lo cual afecta directamente al proceso de cálculo y relativización de tributes en sistemas detributarios. Esto es relevante para un sistema de cumplimiento tributario automatizado, ya que involucra aspectos operativos de cálculo y ajustes tributarios.",Falso Positivo,deepseek-r1_knn1
Circular N° 17 del 12 de Febrero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en el cálculo de reajustes y multas para tributes, lo cual directly afecta la obligación de cumplir con los impuestos, un aspecto crítico del sistema de cumplimiento tributario.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 59 del 06 de Mayo del 2025,Contiene 'donaciones',"El normativo se centra en procedimientos para denunciar anónimos relacionados con la evadección tributaria, lo cual está directamente relacionado con los temas de denuncias anónimas y boletas, entre otros.",Falso Positivo,deepseek-r1_knn1
Circular N° 22 del 11 de Marzo del 2025,No se encontraron reglas de negocio,"La normativa se centra en ajustes y multas relacionados con impuestos, lo que afecta la obligación de liquidación y pagos, impactando directamente el sistema de cumplimiento tributario.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 46 del 10 de Abril del 2025,Contiene 'donaciones',"El documento aborda temas legales como subvenciones, impuestos, notificaciones y protocolos técnicos, lo cual es relevante para la gestión financiera y administrativa de organizaciones educativas.",Falso Positivo,deepseek-r1_knn1
Circular N° 14 del 10 de Febrero del 2025,No se encontraron reglas de negocio,"El normativo new se centra en ajustes al impuesto único de segunda categoría (Iusc) que afecta a drivers y trabajadores en agricultura. Proporciona detalles sobre cálculos y relativos tributarios, incluyendo una sección sobre la relativa de tributación, lo cual es directly relevant para el sistema de compliance automático en una empresa de finanzas, ya que involucra procesos de cobro y procesamiento de pagos.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 13 del 24 de Enero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en la delegación de authority para gestionar procesos relacionados con la entrega de información y la coordinación institucional, lo cual afecta directamente el manejo de datos y la operación integral del sistema de cumplimiento tributario. Esto es crítico para una empresa de fintech que utiliza sistemas automatizados, ya que involucra la gestión eficiente de información externa y la sostenibilidad operativa necesaria para cumplir con los convenios y normas tributarias.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 72 del 19 de Junio del 2025,Contiene 'cumplimiento tributario',"El documento es relevante porque establece una relación de cooperación entre el servicio de impuestos internos y el grupo empresarial con fines de sostenibilidad tributaria. Propone acciones para evitar riesgos fiscales, asegurar la contribución impositiva adecuada y garantizar la transparencia. Además, menciona la formalización del plan de cumplimiento, lo que sugiere un proceso estructurado para la implementación de las recomendaciones.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 55 del 30 de Abril del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en procedimientos de fiscalización unificada que incluyen el uso de medios electrónicos y operadores, los cuales son directamente relacionados con los temas de electronic payments (medios de pago electrónicos), inicio de actividades (operadores y administradores) y la applicable de procesos generales que afectan el cumplimiento automatizado del sistema.",Falso Positivo,deepseek-r1_knn1
Resolución Exenta SII N° 02 del 03 de Enero del 2025,No se encontraron reglas de negocio,"La nueva normativa se centra en la automización de procesos de contabilidad electrónica para contribuyentes, lo cual es directamente relevante al sistema de cumplimiento tributario automatizado. Trata sobre el modelado de operaciones de contabilidad electrónica y el almacenamiento digital de libros contables, que son temas relacionados con la automización necesaria en un entorno de fintech.",Falso Positivo,deepseek-r1_knn1
